,mouse,expDate,pumpTime (ms),-5,-4,-3,-2,-1,0,1,2,3,4
591,Mouse04383,062520,974297,5.680582523345947,3.575371265411377,3.1862704753875732,3.6912894248962402,4.193885326385498,3.2685837745666504,5.490674018859863,4.030803680419922,3.0070760250091553,5.033600807189941
592,Mouse04395,062720,974655,1.9849741458892822,1.671826720237732,2.5041439533233643,2.657395601272583,1.986033320426941,2.079529285430908,2.661391496658325,2.8682053089141846,2.016179323196411,1.4844967126846313
593,Mouse04393,060120,975390,4.0981268882751465,5.181042194366455,5.643263816833496,3.944222927093506,4.399211883544922,5.151950836181641,6.059507369995117,3.7988662719726562,4.695071220397949,5.180169582366943
594,Mouse04384,062020,975799,4.0883097648620605,4.553317070007324,4.507713317871094,5.107388496398926,3.688657760620117,3.2520012855529785,4.601929187774658,3.8132784366607666,4.276845932006836,4.655400276184082
595,Mouse04395,062920,975872,3.6461145877838135,2.4173474311828613,4.522974491119385,5.324726104736328,4.524984836578369,4.708463668823242,4.140974521636963,4.484137058258057,4.272822380065918,5.256094455718994
596,Mouse04394,062520,976222,3.9252169132232666,4.916823387145996,4.010005950927734,5.139359474182129,4.660405158996582,4.899212837219238,4.944599151611328,4.10123348236084,4.316575527191162,4.1686177253723145
597,Mouse04395,062520,976829,3.1226277351379395,5.309167861938477,3.0282695293426514,3.337857961654663,3.996797800064087,3.153160333633423,5.827049732208252,3.7814764976501465,3.919595241546631,2.7111828327178955
598,Mouse04394,070220,977688,4.783057689666748,5.171141147613525,5.342519283294678,5.130519390106201,5.526050090789795,5.999444484710693,3.997901678085327,5.568061351776123,4.627725124359131,4.358397006988525
599,Mouse04384,071820,978455,4.754759311676025,4.521852016448975,1.8449738025665283,3.5930230617523193,3.4586925506591797,3.737848997116089,2.857512950897217,4.400711536407471,3.640998601913452,4.613227367401123
600,Mouse04394,062420,981265,4.905040740966797,4.935193061828613,4.746782302856445,5.922632217407227,4.748920917510986,5.397941589355469,3.756774663925171,3.2116663455963135,4.558252334594727,5.7811760902404785
601,Mouse04395,062820,981406,2.506448268890381,4.1018500328063965,0.14641490578651428,1.749241590499878,0.616483211517334,1.118186116218567,1.625313639640808,1.4688653945922852,2.579197645187378,0.8511998057365417
602,Mouse04391,061320,984639,1.2768549919128418,0.35946720838546753,2.6400516033172607,1.7307242155075073,1.849866271018982,1.3252230882644653,3.650359630584717,4.202908992767334,2.345640182495117,2.195573568344116
603,Mouse04394,062720,986518,6.5323991775512695,6.3848724365234375,5.042262077331543,4.597047328948975,3.7902653217315674,5.037187099456787,4.732910633087158,4.387110710144043,6.043769359588623,4.508011817932129
604,Mouse04394,062520,987424,7.0612568855285645,4.025321006774902,5.175464153289795,3.9571781158447266,3.045156478881836,5.515779495239258,3.748230457305908,5.707539081573486,3.414830446243286,4.484211444854736
605,Mouse04393,053020,987572,4.303690433502197,5.336123943328857,4.842650413513184,3.111938238143921,6.953266143798828,4.083584785461426,3.9253733158111572,4.115304470062256,3.5506114959716797,3.6437392234802246
606,Mouse04394,070220,987767,5.619985103607178,4.865477085113525,4.5000104904174805,5.120755672454834,4.533544540405273,5.177644729614258,3.2606141567230225,5.706849575042725,3.242973566055298,4.803921222686768
607,Mouse04384,071820,991478,4.32450008392334,6.700711727142334,3.6134626865386963,3.8747453689575195,5.371294021606445,4.241242408752441,3.8023083209991455,5.366992473602295,3.8436543941497803,3.4813852310180664
608,Mouse04383,062520,992345,3.36670184135437,3.425736427307129,3.5191264152526855,4.545917987823486,3.666539192199707,2.2663238048553467,4.137432098388672,5.270132064819336,3.910651206970215,4.638782978057861
