mouse,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
8.0,5,1.0,-4.92412834967224,-34.52424654457082,0.10682898303125,0.165149964859375
8.0,6,1.0,-4.915166326657676,-33.08717507208941,0.10706210917910447,0.16797549068656717
8.0,7,1.0,-5.1319439171072,-40.11305410018719,0.10164705230645159,0.15554310114516126
8.0,8,1.0,-5.024655926267583,-35.93691188410466,0.10426975795312501,0.1625271340625
8.0,9,1.0,-4.887930195005617,-32.772122776784705,0.1077757149516129,0.16861775975806453
8.0,10,1.0,-5.0362437002612195,-33.988277643244935,0.1039811958196721,0.16618436942622947
8.0,11,1.0,-4.860207282627789,-31.077498989557885,0.10851008307936509,0.17222546198412694
9.0,1,1.0,-4.379578119698131,-33.52975695283071,0.1226654064927536,0.16708742769565216
9.0,2,1.0,-4.463369398985489,-31.54567377289789,0.11998752592647056,0.17120196607352933
9.0,3,1.0,-4.426598501647224,-32.84083935919308,0.12115081663636361,0.16847694519696974
9.0,4,1.0,-4.484660730998794,-32.07043501976906,0.11932226008955224,0.1700794998358209
9.0,5,1.0,-4.435421111179183,-32.318792933686964,0.12087002914925374,0.16955709849253733
9.0,6,1.0,-4.495267452114826,-32.960798369288604,0.11899308784722229,0.16823210084722218
9.0,7,1.0,-4.400110323971535,-30.512164208328844,0.12200025615151519,0.17349021495454542
9.0,8,1.0,-4.441010259200518,-30.370603024429634,0.12069269869841272,0.1738120042222222
9.0,9,1.0,-4.444363775222593,-29.971170282534253,0.12058650332307695,0.17473128903076926
9.0,10,1.0,-4.380269772653356,-31.653163629581478,0.12264290379999998,0.17096994627692308
9.0,11,1.0,-4.423681514973797,-31.818781433968738,0.1212438866557377,0.17061458529508197
10.0,1,1.0,-5.486801150515417,-59.67268628588015,0.09369617362790698,0.1326715888604651
10.0,2,1.0,-5.342522252672825,-48.0565154464545,0.09680210600000001,0.1446962432380952
10.0,3,1.0,-5.388503074238709,-48.151986365403346,0.09579423381395348,0.14458130130232555
10.0,4,1.0,-5.235685262695078,-44.64338581498193,0.0992119121395349,0.14902678506976744
10.0,5,1.0,-5.33074554407859,-44.3528015362924,0.09706303104651162,0.14941670662790696
10.0,6,1.0,-5.264497207769623,-43.529058969289494,0.09855246609090912,0.15054164131818182
10.0,7,1.0,-5.354303646018407,-45.78341813575302,0.09654222090697674,0.1475304722325581
10.0,8,1.0,-5.439071735730439,-46.7051819268784,0.09470543325581397,0.1463580433023256
10.0,9,1.0,-5.4514034913354354,-43.726544724004235,0.09444297835714285,0.1502692634047619
10.0,10,1.0,-5.2724053152175125,-38.0382196824131,0.0983727165952381,0.15887979833333332
10.0,11,1.0,-5.212097671091166,-40.559199682511995,0.09975716373809523,0.1548568421428571
11.0,1,1.0,-5.797277951768277,-42.078017886342494,0.08753872029411766,0.15259707842647063
11.0,2,1.0,-5.6536480081130325,-43.06144664859298,0.09030247698529416,0.1511934943529412
11.0,3,1.0,-5.551977362683944,-42.84940152389273,0.0923460790434783,0.15149233937681164
11.0,4,1.0,-5.42764731719105,-36.37610516228492,0.09494964157746484,0.16174070319718314
11.0,5,1.0,-5.4820551789776,-35.85476680458972,0.0937957415211268,0.1626757071690141
11.0,6,1.0,-5.426322032519645,-36.4457406873404,0.09497803739189192,0.16161722240540544
