minute_net_1_scores,minute_net_2_scores,minute_time,minute_mouse,minute_flx,minute_expDate
0.10009256,0.16884874,1560,Mouse78732,1.0,040623
0.096624844,0.16637759,1620,Mouse78732,1.0,040623
0.08634797,0.1669475,1680,Mouse78732,1.0,040623
0.095052935,0.17250302,1740,Mouse78732,1.0,040623
0.08599459,0.15835987,1800,Mouse78732,1.0,040623
0.08818681,0.16458106,1860,Mouse78732,1.0,040623
0.09287038,0.16665244,1920,Mouse78732,1.0,040623
0.07762139,0.16172269,1980,Mouse78732,1.0,040623
0.088539526,0.18057314,2040,Mouse78732,1.0,040623
0.0940255,0.17458922,2100,Mouse78732,1.0,040623
0.08968998,0.16712558,2160,Mouse78732,1.0,040623
0.09209078,0.1571724,2220,Mouse78732,1.0,040623
0.09096101,0.15823935,2280,Mouse78732,1.0,040623
0.096773334,0.15455389,2340,Mouse78732,1.0,040623
0.09739289,0.1454412,2400,Mouse78732,1.0,040623
0.09763395,0.1591454,2460,Mouse78732,1.0,040623
0.096935414,0.16924772,2520,Mouse78732,1.0,040623
0.095136516,0.17615168,2580,Mouse78732,1.0,040623
0.084683456,0.15778284,2640,Mouse78732,1.0,040623
0.0943935,0.15854962,2700,Mouse78732,1.0,040623
0.09223249,0.16569635,2760,Mouse78732,1.0,040623
0.09162127,0.16867869,2820,Mouse78732,1.0,040623
0.09133244,0.16944951,2880,Mouse78732,1.0,040623
0.093733706,0.17472763,2940,Mouse78732,1.0,040623
0.09425082,0.17280445,3000,Mouse78732,1.0,040623
0.09574739,0.17981717,3060,Mouse78732,1.0,040623
0.09814414,0.16220526,3120,Mouse78732,1.0,040623
0.09746203,0.15341726,3180,Mouse78732,1.0,040623
0.092901334,0.16496074,3240,Mouse78732,1.0,040623
0.08788292,0.16815652,3300,Mouse78732,1.0,040623
0.07736597,0.17255852,3360,Mouse78732,1.0,040623
0.08864586,0.17217323,3420,Mouse78732,1.0,040623
0.093985274,0.1667903,3480,Mouse78732,1.0,040623
0.09641299,0.17314602,3540,Mouse78732,1.0,040623
0.0969509,0.16341029,0,Mouse78743,0.0,040623
0.09581629,0.16127796,60,Mouse78743,0.0,040623
0.0933912,0.17109992,120,Mouse78743,0.0,040623
0.095467515,0.14939827,180,Mouse78743,0.0,040623
0.086832054,0.15561254,240,Mouse78743,0.0,040623
0.09092067,0.15336095,300,Mouse78743,0.0,040623
0.09202604,0.1603875,360,Mouse78743,0.0,040623
0.08466924,0.15479429,420,Mouse78743,0.0,040623
0.08884031,0.1504271,480,Mouse78743,0.0,040623
0.08760446,0.15992716,540,Mouse78743,0.0,040623
0.08279639,0.14202122,600,Mouse78743,0.0,040623
0.0918886,0.15550436,660,Mouse78743,0.0,040623
0.08753474,0.14009176,720,Mouse78743,0.0,040623
0.08464095,0.13709778,780,Mouse78743,0.0,040623
0.08595648,0.14493337,840,Mouse78743,0.0,040623
0.08816069,0.14935796,900,Mouse78743,0.0,040623
0.08949758,0.15892069,960,Mouse78743,0.0,040623
0.08641599,0.14419343,1020,Mouse78743,0.0,040623
0.08814022,0.14601223,1080,Mouse78743,0.0,040623
0.089643486,0.1277914,1140,Mouse78743,0.0,040623
0.08650683,0.15908979,1200,Mouse78743,0.0,040623
0.08827616,0.14847797,1260,Mouse78743,0.0,040623
0.08443463,0.14110292,1320,Mouse78743,0.0,040623
0.085404284,0.14346649,1380,Mouse78743,0.0,040623
0.090187594,0.14460322,1440,Mouse78743,0.0,040623
0.09128756,0.13938984,1500,Mouse78743,0.0,040623
0.08932034,0.14019427,1560,Mouse78743,0.0,040623
0.08585065,0.1496211,1620,Mouse78743,0.0,040623
0.081953965,0.1372902,1680,Mouse78743,0.0,040623
0.088975556,0.15118024,1740,Mouse78743,0.0,040623
0.08934843,0.13863902,1800,Mouse78743,0.0,040623
0.087644175,0.14228952,1860,Mouse78743,0.0,040623
0.086094834,0.14088184,1920,Mouse78743,0.0,040623
0.08957144,0.1430632,1980,Mouse78743,0.0,040623
0.08738034,0.15101698,2040,Mouse78743,0.0,040623
0.08634604,0.14778936,2100,Mouse78743,0.0,040623
0.08874205,0.13595468,2160,Mouse78743,0.0,040623
0.08692017,0.14216405,2220,Mouse78743,0.0,040623
0.08753352,0.1439537,2280,Mouse78743,0.0,040623
0.085756205,0.15746461,2340,Mouse78743,0.0,040623
0.08358807,0.14019327,2400,Mouse78743,0.0,040623
0.09060437,0.1372555,2460,Mouse78743,0.0,040623
0.09252124,0.16019437,2520,Mouse78743,0.0,040623
0.079175524,0.13758473,2580,Mouse78743,0.0,040623
0.08556133,0.13383365,2640,Mouse78743,0.0,040623
0.08599348,0.130368,2700,Mouse78743,0.0,040623
0.08492707,0.13458894,2760,Mouse78743,0.0,040623
0.08824051,0.14103538,2820,Mouse78743,0.0,040623
0.086573794,0.14276494,2880,Mouse78743,0.0,040623
0.0834505,0.15498947,2940,Mouse78743,0.0,040623
