,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
921,Tone 7,Mouse9061,11,group 2,0.10229986160993576,0.1742771416902542,0.058627452701330185,3.950239658355713
922,Tone 7,Mouse9061,12,group 2,0.06929679960012436,0.18409770727157593,0.021419379860162735,3.7638142108917236
923,Tone 7,Mouse9061,13,group 2,0.11078258603811264,0.20434832572937012,0.03737158328294754,4.519343376159668
924,Tone 7,Mouse9061,14,group 2,0.07985467463731766,0.17872163653373718,0.07645779848098755,3.8174033164978027
925,Tone 7,Mouse9061,15,group 2,0.09257311373949051,0.18986625969409943,0.021184591576457024,4.0878095626831055
926,Tone 7,Mouse9061,16,group 2,0.09077008068561554,0.15752065181732178,0.021034331992268562,3.5307207107543945
927,Tone 7,Mouse9061,17,group 2,0.0832989513874054,0.1602720320224762,0.03399868682026863,3.51279878616333
928,Tone 7,Mouse9061,18,group 2,0.08354094624519348,0.12949280440807343,0.053519975394010544,3.01608943939209
929,Tone 7,Mouse9061,19,group 2,0.10224444419145584,0.16805429756641388,0.05913574621081352,3.846306800842285
930,Tone 7,Mouse9061,20,group 2,0.09468279778957367,0.11813142150640488,0.03166046366095543,2.919968843460083
931,Tone 7,Mouse9061,21,group 2,0.08320944756269455,0.1775868535041809,0.013221198692917824,3.7855920791625977
932,Tone 7,Mouse9061,22,group 2,0.1056366115808487,0.17883361876010895,0.06349201500415802,4.062414169311523
933,Tone 7,Mouse9061,23,group 2,0.04608113691210747,0.14022327959537506,0.028035812079906464,2.8096652030944824
934,Tone 7,Mouse9061,24,group 2,0.06803616881370544,0.1410108208656311,0.027482299134135246,3.0374367237091064
935,Tone 7,Mouse9061,25,group 2,0.09884434193372726,0.18114547431468964,0.0166850034147501,4.000570774078369
936,Tone 7,Mouse9061,26,group 2,0.1014731377363205,0.16303451359272003,0.0055586835369467735,3.7162933349609375
937,Tone 7,Mouse9061,27,group 2,0.07525838166475296,0.15086929500102997,0.01644330844283104,3.264565944671631
938,Tone 7,Mouse9061,28,group 2,0.11578596383333206,0.23841573297977448,0.053921137005090714,5.148351192474365
939,Tone 7,Mouse9061,29,group 2,0.09353974461555481,0.19863569736480713,0.05605722963809967,4.2687249183654785
940,Tone 7,Mouse9061,30,group 2,0.0713222548365593,0.12225989252328873,0.03697749227285385,2.7638449668884277
941,Tone 7,Mouse9061,31,group 2,0.10879085212945938,0.16444356739521027,0.03827184811234474,3.83512806892395
942,Tone 7,Mouse9061,32,group 2,0.11474981158971786,0.18828046321868896,0.07199690490961075,4.315340518951416
943,Tone 7,Mouse9061,33,group 2,0.08199349045753479,0.12791487574577332,0.08467107266187668,2.997159004211426
944,Tone 7,Mouse9061,34,group 2,,,,
945,Tone 7,Mouse9061,35,group 2,0.0799727812409401,0.1776876449584961,0.08991251140832901,3.811053514480591
946,Tone 7,Mouse9061,36,group 2,0.0928889662027359,0.23997728526592255,0.0789874717593193,4.968255996704102
947,Tone 7,Mouse9061,37,group 2,0.05320364981889725,0.08720117062330246,0.05219530314207077,2.0128326416015625
948,Tone 7,Mouse9061,38,group 2,0.1220005601644516,0.17920634150505066,0.0050938245840370655,4.1866583824157715
949,Tone 7,Mouse9061,39,group 2,,,,
950,Tone 7,Mouse9064,-10,group 2,0.12721873819828033,0.11650986224412918,0.003890040796250105,3.1915175914764404
951,Tone 7,Mouse9064,-9,group 2,0.12042396515607834,0.15346002578735352,0.004667477682232857,3.7416226863861084
952,Tone 7,Mouse9064,-8,group 2,0.06360600143671036,0.07725562900304794,0.04976242780685425,1.9471309185028076
953,Tone 7,Mouse9064,-7,group 2,0.12428557872772217,0.11671416461467743,0.023199032992124557,3.180164098739624
954,Tone 7,Mouse9064,-6,group 2,0.11729114502668381,0.10917659103870392,0.024269714951515198,2.9867520332336426
955,Tone 7,Mouse9064,-5,group 2,0.09623491764068604,0.11015917360782623,0.07859782129526138,2.8362019062042236
956,Tone 7,Mouse9064,-4,group 2,0.08909096568822861,0.06032991781830788,0.02089511789381504,1.8936480283737183
957,Tone 7,Mouse9064,-3,group 2,0.09846165776252747,0.13306830823421478,0.008184358477592468,3.1890501976013184
958,Tone 7,Mouse9064,-2,group 2,0.09823311120271683,0.12115079909563065,0.12006118893623352,3.0690410137176514
959,Tone 7,Mouse9064,-1,group 2,0.1145259439945221,0.15377336740493774,0.0319628082215786,3.7088253498077393
960,Tone 7,Mouse9064,0,group 2,0.07873523980379105,0.08690452575683594,0.026294149458408356,2.239219903945923
961,Tone 7,Mouse9064,1,group 2,0.09066753834486008,0.09320536255836487,0.03365172818303108,2.46647310256958
962,Tone 7,Mouse9064,2,group 2,0.10669484734535217,0.09085704386234283,0.03391796350479126,2.584491491317749
963,Tone 7,Mouse9064,3,group 2,0.07430917769670486,0.11784578114748001,0.03838183730840683,2.720517635345459
964,Tone 7,Mouse9064,4,group 2,0.09402506798505783,0.10771282017230988,0.03687576577067375,2.7435836791992188
965,Tone 7,Mouse9064,5,group 2,0.07681259512901306,0.11272484064102173,0.11083893477916718,2.7120721340179443
966,Tone 7,Mouse9064,6,group 2,0.10017412155866623,0.11884846538305283,0.005961822345852852,2.967118263244629
967,Tone 7,Mouse9064,7,group 2,0.1115502342581749,0.16788743436336517,0.06452202796936035,3.938567876815796
968,Tone 7,Mouse9064,8,group 2,0.06280172616243362,0.06321560591459274,0.010221781209111214,1.676548719406128
969,Tone 7,Mouse9064,9,group 2,0.1316218227148056,0.11234112083911896,0.02743661031126976,3.1821706295013428
970,Tone 7,Mouse9064,10,group 2,0.09141051769256592,0.11717411875724792,0.018325701355934143,2.862309455871582
971,Tone 7,Mouse9064,11,group 2,0.0951465368270874,0.11820325255393982,0.01541074924170971,2.9139528274536133
972,Tone 7,Mouse9064,12,group 2,0.10857914388179779,0.11050871014595032,0.00577494828030467,2.910252571105957
973,Tone 7,Mouse9064,13,group 2,0.10466821491718292,0.12426835298538208,0.07519923895597458,3.1515958309173584
