,mouse,expDate,social mean agg,social mean net 1,social mean net 2,social mean net 3,object mean agg,object mean net 1,object mean net 2,object mean net 3
74,Mouse0642,100517,4.583115577697754,0.12065884470939636,0.20209652185440063,0.043708138167858124,4.628979682922363,0.1222481057047844,0.20404088497161865,0.04077507555484772
75,Mouse0642,100717,4.651608467102051,0.1175064891576767,0.20793476700782776,0.046504925936460495,4.980154037475586,0.11958764493465424,0.22658373415470123,0.042655546218156815
76,Mouse0642,101017,4.970768928527832,0.1259177327156067,0.22248408198356628,0.03846859931945801,5.083902835845947,0.13657011091709137,0.2231658399105072,0.03491651639342308
77,Mouse0643,091617,4.000229358673096,0.11339380592107773,0.17205999791622162,0.02862849272787571,4.032037258148193,0.11202341318130493,0.17462442815303802,0.03204463794827461
78,Mouse0643,091917,3.7828667163848877,0.1163141056895256,0.15677466988563538,0.04092555493116379,3.8638923168182373,0.11477342993021011,0.16281980276107788,0.034458618611097336
79,Mouse0643,092117,4.120879650115967,0.10956265777349472,0.1811993420124054,0.0366295762360096,3.9437062740325928,0.10839874297380447,0.17172275483608246,0.025897793471813202
80,Mouse0643,092317,4.22736930847168,0.1065136268734932,0.18891043961048126,0.04738651216030121,4.03272819519043,0.09739851951599121,0.18253836035728455,0.04860625043511391
81,Mouse0643,092617,4.154469013214111,0.09598038345575333,0.19099414348602295,0.04120086878538132,4.150615692138672,0.09717148542404175,0.18975690007209778,0.04826296493411064
82,Mouse0643,093017,4.249584674835205,0.09776881337165833,0.19546613097190857,0.045395005494356155,4.4566450119018555,0.10003797709941864,0.20705628395080566,0.03376150503754616
83,Mouse0643,100317,4.461864471435547,0.10151736438274384,0.20627425611019135,0.038971614092588425,4.381052494049072,0.09917992353439331,0.20285606384277344,0.03769455477595329
84,Mouse0643,100517,4.29726505279541,0.09386267513036728,0.20083531737327576,0.040440093725919724,4.5701823234558105,0.09821005165576935,0.21474340558052063,0.03828016668558121
85,Mouse0643,100717,4.337323188781738,0.09522345662117004,0.20227493345737457,0.04420814290642738,4.839925765991211,0.10986322909593582,0.22406964004039764,0.0384218692779541
86,Mouse0643,101017,4.211195945739746,0.09206050634384155,0.19665248692035675,0.042272474616765976,4.812594890594482,0.11578585207462311,0.21956999599933624,0.024165451526641846
87,Mouse0644,091617,4.4079694747924805,0.08900725096464157,0.2101062536239624,0.045527417212724686,4.638342380523682,0.09747640788555145,0.2192857712507248,0.03773849830031395
88,Mouse0644,091917,4.311919212341309,0.08616109192371368,0.20607732236385345,0.04415157437324524,4.800695896148682,0.09574718773365021,0.23065830767154694,0.023458518087863922
89,Mouse0644,092117,4.3378400802612305,0.08194209635257721,0.2102845311164856,0.04013444855809212,4.7676591873168945,0.09071709960699081,0.2312759906053543,0.031657569110393524
