scores,y_mouse,y_expDate,y_time,y_flx
6.7451444,Mouse99003,072321,2837,1
7.871511,Mouse99003,072321,2838,1
9.861275,Mouse99003,072321,2839,1
6.6837053,Mouse99003,072321,2840,1
8.68931,Mouse99003,072321,2841,1
13.067252,Mouse99003,072321,2842,1
7.538173,Mouse99003,072321,2843,1
14.224159,Mouse99003,072321,2844,1
9.95594,Mouse99003,072321,2845,1
5.800855,Mouse99003,072321,2846,1
11.436346,Mouse99003,072321,2847,1
7.9332504,Mouse99003,072321,2848,1
11.7154,Mouse99003,072321,2849,1
11.250597,Mouse99003,072321,2850,1
4.8835526,Mouse99003,072321,2851,1
13.245664,Mouse99003,072321,2852,1
7.4318256,Mouse99003,072321,2853,1
9.649369,Mouse99003,072321,2854,1
12.171719,Mouse99003,072321,2855,1
9.646569,Mouse99003,072321,2856,1
7.4382625,Mouse99003,072321,2857,1
12.090976,Mouse99003,072321,2858,1
9.515776,Mouse99003,072321,2859,1
10.42467,Mouse99003,072321,2860,1
12.836998,Mouse99003,072321,2861,1
12.670449,Mouse99003,072321,2862,1
4.3067183,Mouse99003,072321,2863,1
11.362855,Mouse99003,072321,2864,1
5.0835123,Mouse99003,072321,2865,1
14.434831,Mouse99003,072321,2866,1
10.909651,Mouse99003,072321,2867,1
3.041262,Mouse99003,072321,2868,1
16.061676,Mouse99003,072321,2869,1
13.380595,Mouse99003,072321,2870,1
12.886713,Mouse99003,072321,2871,1
8.441083,Mouse99003,072321,2872,1
9.442238,Mouse99003,072321,2873,1
8.135614,Mouse99003,072321,2874,1
8.42571,Mouse99003,072321,2875,1
11.931107,Mouse99003,072321,2876,1
9.373776,Mouse99003,072321,2877,1
14.2814455,Mouse99003,072321,2878,1
11.000974,Mouse99003,072321,2879,1
15.157249,Mouse99003,072321,2880,1
8.625111,Mouse99003,072321,2881,1
6.575834,Mouse99003,072321,2882,1
13.24199,Mouse99003,072321,2883,1
11.271648,Mouse99003,072321,2884,1
9.39037,Mouse99003,072321,2885,1
10.068301,Mouse99003,072321,2886,1
10.984105,Mouse99003,072321,2887,1
8.50678,Mouse99003,072321,2888,1
9.131221,Mouse99003,072321,2889,1
10.538885,Mouse99003,072321,2890,1
13.499306,Mouse99003,072321,2891,1
9.654234,Mouse99003,072321,2892,1
8.722286,Mouse99003,072321,2893,1
10.054628,Mouse99003,072321,2894,1
11.826201,Mouse99003,072321,2895,1
4.667035,Mouse99003,072321,2896,1
11.217135,Mouse99003,072321,2897,1
