,agg score,net 1 scores,net 2 scores,net 3 scores,mouse,roi,condition,in-task,time,expDate,hc_v_task auc,net 1 hc_v_task auc,net 2 hc_v_task auc,net 3 hc_v_task auc
1124,2.5803657,0.7606007,0.72858614,0.26880267,Mouse67152,,CLOCK,0.0,240,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1125,2.5553942,0.67012197,0.78593826,-1.2277272,Mouse67152,,CLOCK,0.0,241,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1126,2.2631252,1.0352336,0.31544447,-0.86820686,Mouse67152,,CLOCK,0.0,242,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1127,3.0263848,0.95677066,0.9666417,-0.23285638,Mouse67152,,CLOCK,0.0,243,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1128,3.0956717,1.0352899,0.98489916,-0.8010218,Mouse67152,,CLOCK,0.0,244,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1129,3.2414165,0.969421,1.0973598,0.005725995,Mouse67152,,CLOCK,0.0,245,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1130,2.434026,0.86378217,0.5887641,-1.4597214,Mouse67152,,CLOCK,0.0,246,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1131,2.5352466,0.7097467,0.7465976,-0.8756965,Mouse67152,,CLOCK,0.0,247,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1132,3.4051993,1.0225344,1.1956176,-1.4074667,Mouse67152,,CLOCK,0.0,248,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1133,1.7931949,0.7313933,0.024816962,-0.29454765,Mouse67152,,CLOCK,0.0,249,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1134,3.0503218,1.0656539,0.9420793,-1.0912952,Mouse67152,,CLOCK,0.0,250,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1135,3.4538057,1.0415684,1.1988933,-0.08096826,Mouse67152,,CLOCK,0.0,251,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1136,2.7336175,0.6890302,0.9038783,-0.9867043,Mouse67152,,CLOCK,0.0,252,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1137,2.4668403,0.5135987,0.7845181,-0.5807529,Mouse67152,,CLOCK,0.0,253,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1138,2.2604,0.68726146,0.5331494,-0.7420851,Mouse67152,,CLOCK,0.0,254,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1139,2.4864595,0.7203985,0.68900865,-0.17443466,Mouse67152,,CLOCK,0.0,255,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1140,3.7152076,1.0433364,1.3615512,-0.7026694,Mouse67152,,CLOCK,0.0,256,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1141,2.8144736,0.8125079,0.89717096,-0.6190204,Mouse67152,,CLOCK,0.0,257,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1142,2.7578616,0.51145154,0.9780415,0.09320816,Mouse67152,,CLOCK,0.0,258,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1143,2.7867231,0.76391774,0.91042185,-1.413629,Mouse67152,,CLOCK,0.0,259,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1144,2.2585194,0.49706456,0.63522303,-0.9132153,Mouse67152,,CLOCK,0.0,260,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1145,1.9278449,0.6017324,0.283466,-1.1994956,Mouse67152,,CLOCK,0.0,261,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1146,2.8598936,0.40637806,1.0955539,-0.29261625,Mouse67152,,CLOCK,0.0,262,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1147,2.989584,0.6163436,1.1112058,-1.5273911,Mouse67152,,CLOCK,0.0,263,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1148,2.4523149,0.7382973,0.6726156,-1.348292,Mouse67152,,CLOCK,0.0,264,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1149,3.8131914,1.5368341,1.1939504,-1.2972203,Mouse67152,,CLOCK,0.0,265,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1150,1.7470517,0.6633384,-0.001606078,0.2816267,Mouse67152,,CLOCK,0.0,266,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1151,3.826967,1.0095649,1.4433259,-1.3760363,Mouse67152,,CLOCK,0.0,267,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1152,1.7666502,0.26861078,0.31988204,-1.1995193,Mouse67152,,CLOCK,0.0,268,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1153,3.3488188,1.1306455,1.1008356,-0.5697813,Mouse67152,,CLOCK,0.0,269,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1154,3.7306814,1.2710726,1.2681983,-0.5835198,Mouse67152,,CLOCK,0.0,270,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1155,2.591106,1.0466336,0.5933093,-0.38381684,Mouse67152,,CLOCK,0.0,271,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1156,2.314516,0.48484376,0.6856713,-0.880799,Mouse67152,,CLOCK,0.0,272,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1157,4.955274,1.7160254,1.7068081,0.1410466,Mouse67152,,CLOCK,0.0,273,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1158,4.363207,1.316536,1.5960262,-0.7907496,Mouse67152,,CLOCK,0.0,274,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1159,2.0618029,0.8565419,0.21940778,-0.061127048,Mouse67152,,CLOCK,0.0,275,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1160,2.5936391,0.78469086,0.7565035,-1.1536515,Mouse67152,,CLOCK,0.0,276,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1161,2.53722,0.8762383,0.64986545,-0.38568488,Mouse67152,,CLOCK,0.0,277,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1162,3.7500796,1.2933309,1.252929,0.25211024,Mouse67152,,CLOCK,0.0,278,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1163,2.007765,0.62546736,0.3442648,-1.0139853,Mouse67152,,CLOCK,0.0,279,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1164,2.4668715,0.8644113,0.60662955,-0.7542047,Mouse67152,,CLOCK,0.0,280,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1165,3.5855482,0.8692083,1.3478159,-0.018997159,Mouse67152,,CLOCK,0.0,281,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1166,3.1392243,0.9352194,1.048134,-0.039115217,Mouse67152,,CLOCK,0.0,282,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1167,1.6381474,0.21558279,0.19833456,-0.2761543,Mouse67152,,CLOCK,0.0,283,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1168,1.9662663,0.48347333,0.36459658,-0.025631271,Mouse67152,,CLOCK,0.0,284,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1169,3.3005831,1.0401764,1.1166084,-0.79653317,Mouse67152,,CLOCK,0.0,285,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1170,2.9789271,1.0531871,0.9005834,-1.2878636,Mouse67152,,CLOCK,0.0,286,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1171,1.9279225,0.285198,0.4077382,0.6958876,Mouse67152,,CLOCK,0.0,287,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1172,3.2335436,1.3258045,0.9330407,-1.5719212,Mouse67152,,CLOCK,0.0,288,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1173,3.2717087,1.2281286,1.0123426,-1.6518017,Mouse67152,,CLOCK,0.0,289,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1174,3.1283934,0.92680573,1.0300136,0.51254135,Mouse67152,,CLOCK,0.0,290,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1175,2.9000843,0.89991724,0.8990284,0.097747624,Mouse67152,,CLOCK,0.0,291,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1176,1.9331975,0.5242482,0.3011212,0.17167464,Mouse67152,,CLOCK,0.0,292,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1177,1.4227306,0.1794102,-0.01577064,-0.49753755,Mouse67152,,CLOCK,0.0,293,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1178,1.7727216,0.44510275,0.22585054,-1.3674202,Mouse67152,,CLOCK,0.0,294,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1179,2.5365164,0.6455399,0.78016776,-0.9303033,Mouse67152,,CLOCK,0.0,295,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1180,4.4096003,1.4563171,1.5664725,-1.5022832,Mouse67152,,CLOCK,0.0,296,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1181,1.5713224,0.1407676,0.19729407,-1.825699,Mouse67152,,CLOCK,0.0,297,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1182,2.688132,1.0638056,0.6523673,-0.0039060977,Mouse67152,,CLOCK,0.0,298,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1183,3.307065,1.0528858,1.1226507,-1.7922155,Mouse67152,,CLOCK,0.0,299,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1184,3.3895717,0.81984526,1.2463096,0.31031585,Mouse67152,,CLOCK,0.0,300,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1185,3.0510316,1.1782039,0.8811312,-0.96668166,Mouse67152,,CLOCK,0.0,301,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1186,2.8538413,1.1295995,0.74774957,-0.1534866,Mouse67152,,CLOCK,0.0,302,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1187,2.4843478,0.5687995,0.7832983,-1.4743774,Mouse67152,,CLOCK,0.0,303,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1188,2.6553276,0.849478,0.7600977,-0.52892536,Mouse67152,,CLOCK,0.0,304,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
1189,2.9236796,0.74491084,1.000512,-0.42569137,Mouse67152,,CLOCK,0.0,305,041624,0.6181438669053645,0.6292112939070313,0.598339403666893,0.5799933637878881
