,comp score,net 1 scores,net 2 scores,net 3 scores,flx,mouse,time,expDate,auc (last-30-minutes),net 1 auc (last-30-minutes),net 2 auc (last-30-minutes),net 3 auc (last-30-minutes)
31770,2.7051146,0.10935299,0.09631807,0.03880021,0.0,Mouse78751,1850,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31771,3.6370413,0.1250572,0.14231475,0.05424963,0.0,Mouse78751,1851,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31772,2.96118,0.10349856,0.116070375,0.016772622,0.0,Mouse78751,1852,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31773,3.6176608,0.114416584,0.1476247,0.049141012,0.0,Mouse78751,1853,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31774,3.6672451,0.14073187,0.1358773,0.032151453,0.0,Mouse78751,1854,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31775,3.547107,0.11069299,0.14663775,0.024776291,0.0,Mouse78751,1855,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31776,2.389401,0.08560063,0.09295591,0.0014666874,0.0,Mouse78751,1856,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31777,2.4503715,0.08363294,0.096387655,0.033291284,0.0,Mouse78751,1857,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31778,2.8182468,0.10433628,0.10622718,0.03471964,0.0,Mouse78751,1858,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31779,2.9892278,0.118006766,0.10697216,0.0688096,0.0,Mouse78751,1859,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31780,2.6669638,0.11613195,0.0880378,0.08512615,0.0,Mouse78751,1860,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31781,2.9389355,0.084852934,0.12633902,0.0017977522,0.0,Mouse78751,1861,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31782,3.9616692,0.12424228,0.16245887,0.049734775,0.0,Mouse78751,1862,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31783,1.2389121,0.095637344,0.017672822,0.010383297,0.0,Mouse78751,1863,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31784,2.9840693,0.11042532,0.11279084,0.030217035,0.0,Mouse78751,1864,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31785,1.4514194,0.046214845,0.058673,0.028294023,0.0,Mouse78751,1865,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31786,2.926272,0.12463565,0.10069104,0.03680484,0.0,Mouse78751,1866,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31787,1.5361205,0.050636638,0.061179344,0.027743315,0.0,Mouse78751,1867,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31788,2.8140752,0.108631045,0.10401899,0.021700997,0.0,Mouse78751,1868,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31789,3.5581284,0.101533175,0.15261523,0.026257306,0.0,Mouse78751,1869,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31790,1.8542573,0.0710613,0.067479745,0.04576036,0.0,Mouse78751,1870,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
31791,4.137944,0.14707586,0.16052684,0.028784042,0.0,Mouse78751,1871,040723,0.5610492452363276,0.5439240572592465,0.5596302562198999,0.46550775227000174
