Unnamed: 0,agg score,net 1 scores,net 2 scores,net 3 scores,mouse,roi,condition,in-task,time,expDate,hc_v_task auc,net 1 hc_v_task auc,net 2 hc_v_task auc,net 3 hc_v_task auc
3158,3.557573,0.08181539,0.16124617,0.093522,Mouse2401,1.0,CLOCK,1.0,951,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3160,4.084995,0.108803414,0.17742385,0.08432119,Mouse2401,1.0,CLOCK,1.0,953,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3162,1.6630963,0.037332036,0.07435319,0.07976132,Mouse2401,1.0,CLOCK,1.0,955,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3164,2.5952086,0.061372634,0.11558687,0.09237796,Mouse2401,1.0,CLOCK,1.0,957,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3165,3.1420293,0.07035794,0.14491333,0.050680276,Mouse2401,1.0,CLOCK,1.0,958,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3166,4.0465274,0.11313467,0.17415977,0.04773859,Mouse2401,1.0,CLOCK,1.0,959,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3167,3.74438,0.0985253,0.16586792,0.018988993,Mouse2401,1.0,CLOCK,1.0,960,30521,0.4461059899093357,0.4663024923181973,0.4415007017943174,0.5475664807860097
3357,0.6261338,0.0038136805,0.03158805,0.085826576,Mouse2402,3.0,WT,1.0,195,30521,0.4602856347217249,0.5098937820742332,0.4501014440864065,0.4849743406134383
3358,3.2296672,0.036856927,0.16809458,0.091112144,Mouse2402,3.0,WT,1.0,197,30521,0.4602856347217249,0.5098937820742332,0.4501014440864065,0.4849743406134383
3359,0.28631252,0.0024774165,0.0124478,0.075328395,Mouse2402,3.0,WT,1.0,199,30521,0.4602856347217249,0.5098937820742332,0.4501014440864065,0.4849743406134383
3360,0.34643936,0.0026206563,0.014746121,0.10352972,Mouse2402,3.0,WT,1.0,200,30521,0.4602856347217249,0.5098937820742332,0.4501014440864065,0.4849743406134383
3361,0.23029226,0.0015914345,0.009155602,0.085765235,Mouse2402,3.0,WT,1.0,201,30521,0.4602856347217249,0.5098937820742332,0.4501014440864065,0.4849743406134383
3367,1.0844346,0.018997077,0.051330242,0.05874931,Mouse2402,3.0,WT,1.0,207,30521,0.4602856347217249,0.5098937820742332,0.4501014440864065,0.4849743406134383
3368,0.63020897,0.0034960844,0.032198362,0.0816933,Mouse2402,3.0,WT,1.0,208,30521,0.4602856347217249,0.5098937820742332,0.4501014440864065,0.4849743406134383
