Predictors,net 1,net 2,net 3
VTA 15,0.16933416,0.28160223,0.04973875
VTA 16,0.1454868,0.30410397,0.023877734
VTA 17,0.12843932,0.32420784,3.1200798e-05
VTA 18,0.11428551,0.33616087,3.3442167e-05
VTA 19,0.10391742,0.34283814,3.5298544e-05
VTA 20,0.09787183,0.3469446,3.702366e-05
VTA 21,0.095184624,0.34919584,3.8776314e-05
VTA 22,0.09477452,0.35153854,4.056606e-05
VTA 23,0.09484462,0.35703102,4.2283453e-05
VTA 24,0.09178474,0.3720862,4.3756627e-05
VTA 25,0.079023026,0.39379755,4.4348042e-05
VTA 26,0.061540544,0.41635096,4.4281674e-05
VTA 27,0.047960393,0.44059387,4.392489e-05
VTA 28,0.038765993,0.464246,4.3547207e-05
VTA 29,0.034817114,0.4862437,4.3292002e-05
VTA 30,0.034198117,0.5065059,4.3288688e-05
VTA 31,0.03701027,0.5242853,4.3639786e-05
VTA 32,0.03266547,0.54220706,4.5019988e-05
VTA 33,0.029871784,0.5501672,4.639048e-05
VTA 34,0.030874856,0.5522173,4.8062266e-05
VTA 35,0.03474724,0.5501401,5.0105973e-05
VTA 36,0.04131562,0.54522806,5.2469728e-05
VTA 37,0.049869385,0.5386255,5.5102937e-05
VTA 38,0.058027387,0.53136563,5.7963403e-05
VTA 39,0.065999135,0.52292246,6.1145336e-05
VTA 40,0.0745833,0.5115173,6.480252e-05
VTA 41,0.08423137,0.49518508,6.9069414e-05
VTA 42,0.09443565,0.4757931,7.399193e-05
VTA 43,0.10587265,0.4540725,7.9435034e-05
VTA 44,0.1173053,0.43152988,8.525621e-05
VTA 45,0.12765282,0.40973285,9.123133e-05
VTA 46,0.13630824,0.3894936,9.7104166e-05
VTA 47,0.14384536,0.37094492,0.00010270198
VTA 48,0.14480889,0.35155317,0.000108249194
VTA 49,0.14498766,0.33074072,0.00011341149
VTA 50,0.14416836,0.30649745,0.00011688646
VTA 51,0.13136557,0.2784816,0.000116535906
VTA 52,0.09586682,0.24865898,0.00011168037
VTA 53,0.0418201,0.21951905,0.000104815175
VTA 54,0.0001805117,0.17216155,9.738218e-05
VTA 55,0.00017289494,0.12587814,9.345476e-05
VTA 56,0.00018597746,0.086828955,0.00010017126
Amy-Cg_Cx 1,0.36491722,0.08245781,0.08946449
Amy-Cg_Cx 2,0.36099204,0.08215882,0.09310268
Amy-Cg_Cx 3,0.3528457,0.08412625,0.10176114
Amy-Cg_Cx 4,0.3365685,0.08938171,0.12011159
Amy-Cg_Cx 5,0.3060945,0.101093695,0.15449592
Amy-Cg_Cx 6,0.259906,0.11706593,0.20414731
Amy-Cg_Cx 7,0.20619953,0.1312194,0.2566111
Amy-Cg_Cx 8,0.15110177,0.13921739,0.30376512
Amy-Cg_Cx 9,0.107406326,0.14126568,0.3420054
Amy-Cg_Cx 10,0.091299154,0.14091189,0.36585552
Amy-Cg_Cx 11,0.0994382,0.13770942,0.37048736
Amy-Cg_Cx 12,0.11241709,0.14161916,0.34286845
Amy-Cg_Cx 13,0.12607916,0.16064441,0.27324834
Amy-Cg_Cx 14,0.1383101,0.19267276,0.18797149
Amy-Cg_Cx 15,0.15232515,0.22689097,0.11021835
Amy-Cg_Cx 16,0.16974494,0.24995981,0.05543863
Amy-Cg_Cx 17,0.17874646,0.26210985,0.02167556
Amy-Cg_Cx 18,0.18515985,0.26574108,1.8372388e-06
Amy-Cg_Cx 19,0.1909772,0.26381007,1.8187154e-06
Amy-Cg_Cx 20,0.19726366,0.26081246,1.8195421e-06
Amy-Cg_Cx 21,0.20173152,0.2581232,1.8399631e-06
Amy-Cg_Cx 22,0.20293139,0.2562769,1.881784e-06
Amy-Cg_Cx 23,0.2001306,0.2554906,1.9412046e-06
Amy-Cg_Cx 24,0.19187702,0.2556287,2.0145021e-06
Amy-Cg_Cx 25,0.17979805,0.25393295,2.1038686e-06
Amy-Cg_Cx 26,0.1660496,0.2552099,2.1935666e-06
Amy-Cg_Cx 27,0.15375425,0.26030272,2.2715785e-06
Amy-Cg_Cx 28,0.1455747,0.26498505,2.334208e-06
Amy-Cg_Cx 29,0.14315455,0.267874,2.3833434e-06
Amy-Cg_Cx 30,0.14667998,0.26668626,2.4225596e-06
Amy-Cg_Cx 31,0.15426904,0.26191607,2.4553171e-06
Amy-Cg_Cx 32,0.15961969,0.2578531,2.4973178e-06
Amy-Cg_Cx 33,0.16075645,0.25426933,2.5668483e-06
Amy-Cg_Cx 34,0.16003665,0.25006428,2.650994e-06
Amy-Cg_Cx 35,0.16158006,0.24555062,2.7325832e-06
Amy-Cg_Cx 36,0.1667196,0.23939586,2.8092916e-06
Amy-Cg_Cx 37,0.17265208,0.23134132,2.8859342e-06
Amy-Cg_Cx 38,0.17282462,0.22141418,0.0019697226
Amy-Cg_Cx 39,0.17119569,0.20870118,0.0043632598
Amy-Cg_Cx 40,0.16864105,0.18980773,0.0003026795
Amy-Cg_Cx 41,0.16475415,0.17517772,3.2667467e-06
Amy-Cg_Cx 42,0.16053642,0.16770568,3.2924768e-06
Amy-Cg_Cx 43,0.15715878,0.16203195,3.3005438e-06
Amy-Cg_Cx 44,0.1567165,0.15513307,3.3031897e-06
Amy-Cg_Cx 45,0.15978517,0.1481414,3.2968674e-06
